Destination,Source
Rebecca D. Lockhart,List of female lieutenant governors in the United States
Rebecca Estell Bourgeois Winston,List of first women mayors in the United States
Rebecca Kleefisch,List of female lieutenant governors in the United States
Rebecca Latimer Felton,List of first women mayors in the United States
Rebekah H. Hord,List of first women mayors in the United States
Rena Parker,List of first women mayors in the United States
Renee Ellmers,Women in the United States House of Representatives
Reva Beck Bosone,Women in the United States House of Representatives
Reva Bosone,List of first women mayors in the United States
Rhine McLin,List of first women mayors in the United States
Rhoda Billings,List of first women mayors in the United States
Rhoda V. Lewis,List of first women mayors in the United States
Richard Campagna,List of female United States presidential and vice-presidential candidates
Richard Congress,List of female United States presidential and vice-presidential candidates
Richard Nixon,List of female United States presidential and vice-presidential candidates
Richard Walton,List of female United States presidential and vice-presidential candidates
Rita B. Garman,List of first women mayors in the United States
Rita C. Davidson,List of first women mayors in the United States
Rita Ellis (politician),List of first women mayors in the United States
Robert J. Bentley,List of female governors in the United States
Robert J. Dolan (politician),List of first women mayors in the United States
Robin Kelly,Women in the United States House of Representatives
Roger B. Wilson,List of first women mayors in the United States
Roger MacBride,List of female United States presidential and vice-presidential candidates
Roll Call,Women in the United States House of Representatives
Ron Ehrenreich,List of female United States presidential and vice-presidential candidates
Ronald Daniels (politician),List of female United States presidential and vice-presidential candidates
Ronald Reagan,List of female United States presidential and vice-presidential candidates
Rosa Clemente,List of female United States presidential and vice-presidential candidates
Rosa DeLauro,Women in the United States House of Representatives
Rosa M. Ramírez Pantojas,List of female lieutenant governors in the United States
Rosalie E. Wahl,List of first women mayors in the United States
Rosalynn Bliss,List of first women mayors in the United States
Rose Bird,List of first women mayors in the United States
Rose McConnell Long,List of first women mayors in the United States
Rose Mofford,List of female governors in the United States
Roseanne Barr,List of female United States presidential and vice-presidential candidates
Rosemarie Myrdal,List of female lieutenant governors in the United States
Rosemary Barkett,List of first women mayors in the United States
Rosemary Giumarra,List of female United States presidential and vice-presidential candidates
Rosemary Waldorf,List of first women mayors in the United States
Rossana Rosado,List of female members of the House of Representatives of Puerto Rico
Ruby Kless Sondock,List of first women mayors in the United States
Ruby M. Rouss,List of female lieutenant governors in the United States
Ruth Abrams,List of first women mayors in the United States
Ruth Ann Minner,List of female governors in the United States
Ruth Bader Ginsburg,Women in the United States House of Representatives
Ruth Baker Pratt,Women in the United States House of Representatives
Ruth Bascom,List of first women mayors in the United States
Ruth Blankman,List of first women mayors in the United States
Ruth Bryan Owen,Women in the United States House of Representatives
Ruth Burleigh,List of first women mayors in the United States
Ruth Hanna McCormick,Women in the United States House of Representatives
Ruth Meiers,List of female lieutenant governors in the United States
Ruth Thompson,Women in the United States House of Representatives
Ruthanne Fuller,List of first women mayors in the United States
Sabrina R. Allen,List of female United States presidential and vice-presidential candidates
Sally Jewell,List of female speakers of legislatures in the United States
Sally Pederson,List of female lieutenant governors in the United States
Samuel Alito,Women in the United States House of Representatives
Samuel L. Devine,Women in the United States House of Representatives
Sandra Pacheco Couso,List of female lieutenant governors in the United States
Sandra Strader,List of first women mayors in the United States
Sandra Warshaw Freedman,List of first women mayors in the United States
Sandy Adams,Women in the United States House of Representatives
Santa Paula,List of first women mayors in the United States
Sara B. Crawford,List of female members of the House of Representatives of Puerto Rico
Sara Gideon,List of female lieutenant governors in the United States
Sara W. Combs,List of first women mayors in the United States
Sarah Palin,List of female United States presidential and vice-presidential candidates
Sarah Parker,List of first women mayors in the United States
Sarah T. Hughes,List of female United States presidential and vice-presidential candidates
Sedinam Kinamo Christin Moyowasifza Curry,List of female United States presidential and vice-presidential candidates
Sharice Davids,Women in the United States House of Representatives
Sharon G. Lee,List of first women mayors in the United States
Sharon M. Priest,List of female members of the House of Representatives of Puerto Rico
Sharon Pollard,List of first women mayors in the United States
Sharon Pratt Kelly,List of female governors in the United States
Sharon Sayles Belton,List of first women mayors in the United States
Sharon Weston Broome,List of first women mayors in the United States
Sheila Bilyeu,List of female United States presidential and vice-presidential candidates
Sheila Dixon,List of first women mayors in the United States
Sheila Frahm,List of female lieutenant governors in the United States
Sheila Jackson Lee,Women in the United States House of Representatives
Sheila Oliver,List of female governors in the United States
Sheila Simon,List of female lieutenant governors in the United States
Shelley Berkley,Women in the United States House of Representatives
Shelley Moore Capito,Women in the United States House of Representatives
Shelley Sekula-Gibbs,Women in the United States House of Representatives
Sheriel F. Perkins,List of first women mayors in the United States
Shirley Abrahamson,List of first women mayors in the United States
Shirley Chisholm,List of female United States presidential and vice-presidential candidates
Shirley Franklin,List of first women mayors in the United States
Shirley Huffman,List of first women mayors in the United States
Shirley Hufstedler,List of female speakers of legislatures in the United States
Shirley Jean Masters,List of female United States presidential and vice-presidential candidates
Shirley Neil Pettis,Women in the United States House of Representatives
Shirley Seney,List of first women mayors in the United States
Sibyl Pool,List of female members of the House of Representatives of Puerto Rico
Sid Simpson,Women in the United States House of Representatives
Sila María Calderón,List of female governors in the United States
Slade Gorton,List of first women mayors in the United States
Soledad C. Chacon,List of female members of the House of Representatives of Puerto Rico
Sonia Johnson,List of female United States presidential and vice-presidential candidates
Sonia Pacheco Irigoyen,List of female lieutenant governors in the United States
Sonia Sotomayor,Women in the United States House of Representatives
Sonny Bono,Women in the United States House of Representatives
Spencer Abraham,List of first women mayors in the United States
Spiro Agnew,List of female United States presidential and vice-presidential candidates
Stacey Jordan,List of first women mayors in the United States
Stacey Plaskett,Women in the United States House of Representatives
Stanford Andress,List of female United States presidential and vice-presidential candidates
Stella Eddy,List of first women mayors in the United States
Stella Welsh,List of first women mayors in the United States
Stena Scorup,List of first women mayors in the United States
Steny Hoyer,Women in the United States House of Representatives
Stephanie Herseth Sandlin,Women in the United States House of Representatives
Stephanie Miner,List of first women mayors in the United States
Stephanie Murphy,Women in the United States House of Representatives
Stephanie Tubbs Jones,Women in the United States House of Representatives
Stephen Breyer,Women in the United States House of Representatives
Steve Michael,List of female United States presidential and vice-presidential candidates
Stewart Alexander (politician),List of female United States presidential and vice-presidential candidates
Sue Bell Cobb,List of first women mayors in the United States
Sue Ellspermann,List of female lieutenant governors in the United States
Sue Marie Young,List of first women mayors in the United States
Sue Miller (Oregon),List of first women mayors in the United States
Sue Myack,List of first women mayors in the United States
Sue Myrick,Women in the United States House of Representatives
Sue W. Kelly,Women in the United States House of Representatives
Sue Wagner,List of female lieutenant governors in the United States
Susan B. Loving,List of female lieutenant governors in the United States
Susan Brooks,Women in the United States House of Representatives
Susan Bysiewicz,List of female lieutenant governors in the United States
Susan Collins,List of female United States presidential and vice-presidential candidates
Susan Davis (politician),Women in the United States House of Representatives
Susan J. M. Bauman,List of first women mayors in the United States
Susan Livingstone,List of female speakers of legislatures in the United States
Susan Molinari,Women in the United States House of Representatives
Susan Weiner,List of first women mayors in the United States
Susan Wild,Women in the United States House of Representatives
Susan Wissler,List of first women mayors in the United States
Susana Martinez,List of female governors in the United States
Susanna M. Salter,List of first women mayors in the United States
Susie Lee,Women in the United States House of Representatives
Susie Sharp,List of first women mayors in the United States
Suzan DelBene,Women in the United States House of Representatives
Suzanne Bonamici,Women in the United States House of Representatives
Suzanne Crouch,List of female lieutenant governors in the United States
Suzanne Kosmas,Women in the United States House of Representatives
Suzi Oppenheimer,List of first women mayors in the United States
Suzie Azar,List of first women mayors in the United States
Sylvia Garcia,Women in the United States House of Representatives
Sylvia Larsen,List of female lieutenant governors in the United States
Sylvia Mathews Burwell,List of female speakers of legislatures in the United States
Sylvia Rodríguez de Corujo,List of female lieutenant governors in the United States
Tahesha Way,List of female members of the House of Representatives of Puerto Rico
Tamara Millay,List of female United States presidential and vice-presidential candidates
Tammy Baldwin,Women in the United States House of Representatives
Tammy Duckworth,Women in the United States House of Representatives
Tana Raymond,List of first women mayors in the United States
Tasha Cerda,List of first women mayors in the United States
Ted Cruz,List of female United States presidential and vice-presidential candidates
Tennie Rogers,List of female United States presidential and vice-presidential candidates
Teresa Gutierrez,List of female United States presidential and vice-presidential candidates
Teresa Tomlinson,List of first women mayors in the United States
Terie Norelli,List of female lieutenant governors in the United States
Terri Sewell,Women in the United States House of Representatives
Terry Branstad,List of female governors in the United States
Thad Cochran,List of first women mayors in the United States
Thelma Drake,Women in the United States House of Representatives
Thelma Stovall,List of female lieutenant governors in the United States
Thomas Eagleton,List of female United States presidential and vice-presidential candidates
Thomas Harens,List of female United States presidential and vice-presidential candidates
Thomas Jefferson Building,Women in the United States House of Representatives
Thomas S. McMillan,Women in the United States House of Representatives
Thyra Thomson,List of female lieutenant governors in the United States
Tillie K. Fowler,Women in the United States House of Representatives
Tim Kaine,List of female United States presidential and vice-presidential candidates
Tina Kotek,List of female lieutenant governors in the United States
Tina Rose Muna Barnes,List of female lieutenant governors in the United States
Tina Smith,List of female lieutenant governors in the United States
Toni Atkins,List of female lieutenant governors in the United States
Toni Harp,List of first women mayors in the United States
Toni Jennings,List of female lieutenant governors in the United States
Tonie Nathan,List of female United States presidential and vice-presidential candidates
Treney Tweedy,List of first women mayors in the United States
Trish Abato,List of first women mayors in the United States
Tulsi Gabbard,List of female United States presidential and vice-presidential candidates
Unita Blackwell,List of first women mayors in the United States
Val Demings,Women in the United States House of Representatives
Valerie Davidson,List of female lieutenant governors in the United States
Valley Center,List of first women mayors in the United States
Vanessa Ruiz,List of female lieutenant governors in the United States
Vel Phillips,List of female members of the House of Representatives of Puerto Rico
Vera Buchanan,Women in the United States House of Representatives
Vera C. Bushfield,List of first women mayors in the United States
Vera Katz,List of female lieutenant governors in the United States
Vera Martucci,List of first women mayors in the United States
Verda I. James,List of female lieutenant governors in the United States
Veronica Escobar,Women in the United States House of Representatives
Veronica Grace Boland,Women in the United States House of Representatives
Vesta M. Roy,List of female governors in the United States
Vicky Hartzler,Women in the United States House of Representatives
Victoria Buckley,List of female members of the House of Representatives of Puerto Rico
Victoria Woodhull,List of female United States presidential and vice-presidential candidates
Vincent Hallinan,List of female United States presidential and vice-presidential candidates
Virginia Abernethy,List of female United States presidential and vice-presidential candidates
Virginia D. Smith,Women in the United States House of Representatives
Virginia E. Jenckes,Women in the United States House of Representatives
Virginia Foxx,Women in the United States House of Representatives
Virginia Smith (New York),List of first women mayors in the United States
Vivien Kellems,List of female United States presidential and vice-presidential candidates
W. Benjamin Gibbs,Women in the United States House of Representatives
Walt Brown,List of female United States presidential and vice-presidential candidates
Walter Capps,Women in the United States House of Representatives
Walter Masters,List of female United States presidential and vice-presidential candidates
Walter Mondale,List of female United States presidential and vice-presidential candidates
Wanda Vázquez Garced,List of female governors in the United States
Wilda Diaz,List of first women mayors in the United States
Willa Kenoyer,List of female United States presidential and vice-presidential candidates
Willa L. Fulmer,Women in the United States House of Representatives
Willa McCord Blake Eslick,Women in the United States House of Representatives
William A. Marra,List of female United States presidential and vice-presidential candidates
William Allan Oldfield,Women in the United States House of Representatives
William B. Ross,List of female governors in the United States
William D. Byron,Women in the United States House of Representatives
William E. Mason,Women in the United States House of Representatives
William F. Norrell,Women in the United States House of Representatives
William Jennings Bryan,Women in the United States House of Representatives
William Schneider (politician),List of female lieutenant governors in the United States
William T. Granahan,Women in the United States House of Representatives
William Weld,List of female United States presidential and vice-presidential candidates
Willie Mae Reid,List of female United States presidential and vice-presidential candidates
Winifred C. Stanley,Women in the United States House of Representatives
Winifred McDonald,List of female members of the House of Representatives of Puerto Rico
Winnifred Huck,Women in the United States House of Representatives
Winnifred Sprague Mason Huck,Women in the United States House of Representatives
Winona LaDuke,List of female United States presidential and vice-presidential candidates
Wretha Hanson,List of female United States presidential and vice-presidential candidates
Xochitl Torres Small,Women in the United States House of Representatives
Yvette Clarke,Women in the United States House of Representatives
Yvonne Brathwaite Burke,Women in the United States House of Representatives
Yvonne Brown,List of first women mayors in the United States
Yvonne Kauger,List of first women mayors in the United States
Yvonne Prettner Solon,List of female lieutenant governors in the United States
Yvonne Spicer,List of first women mayors in the United States
Zaida R. Hernández Torres,List of female lieutenant governors in the United States
Zoe Lofgren,Women in the United States House of Representatives
